City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,hermanus,-34.4187,19.2345,69.8,88,4,1.54,ZA,1707079736
222,ad darb,17.7229,42.2526,76.28,71,1,7.05,SA,1707079736
223,rio grande,-32.035,-52.0986,86.11,85,49,15.39,BR,1707079690
224,velikiye luki,56.34,30.5452,26.56,93,73,5.66,RU,1707079737
225,mtambile,-5.3833,39.7,81.57,75,100,9.22,TZ,1707079737
226,bilibino,68.0546,166.4372,-24.68,82,14,5.19,RU,1707079737
227,kerikeri,-35.2268,173.9474,65.91,79,1,2.98,NZ,1707079737
228,tucuma,-0.1833,-50.05,82.94,75,83,7.9,BR,1707079737
229,salta,-24.7859,-65.4117,81.19,69,40,12.66,AR,1707079735
230,punta arenas,-53.15,-70.9167,71.71,53,75,13.8,CL,1707079643
231,ambon,-3.6954,128.1814,80.08,14,40,3.44,ID,1707079738
232,port lincoln,-34.7333,135.8667,63.05,62,99,16.69,AU,1707079738
233,namibe,-15.1961,12.1522,78.93,80,97,5.23,AO,1707079738
234,balabac,7.9868,117.0645,80.78,79,66,13.91,PH,1707079738
235,el idrissia,34.4454,2.5275,48.99,42,0,6.96,DZ,1707079738
236,egilsstadir,65.2653,-14.3948,15.71,86,40,3.44,IS,1707079738
237,hilo,19.7297,-155.09,73.26,83,100,8.05,US,1707079738
238,myrina,39.8797,25.0742,49.24,76,20,0.0,GR,1707079739
239,igarka,67.4667,86.5833,5.02,96,100,9.44,RU,1707079739
240,inirida,3.8653,-67.9239,90.25,54,60,2.06,CO,1707079739
241,ancud,-41.8697,-73.8203,63.7,65,20,9.1,CL,1707079739
242,georgetown,5.4112,100.3354,81.95,83,20,3.44,MY,1707079609
243,majie,25.0333,102.6361,46.38,66,0,6.71,CN,1707079739
244,naryn,41.4287,75.9911,1.83,71,43,8.68,KG,1707079739
245,chilecito,-29.1619,-67.4974,90.23,32,66,7.58,AR,1707079740
246,sao joao da barra,-21.6403,-41.0511,84.29,87,100,9.46,BR,1707079740
247,copiapo,-27.3667,-70.3333,74.89,47,98,7.7,CL,1707079656
248,guerrero negro,27.9769,-114.0611,67.03,46,0,7.52,MX,1707079740
249,cockburn town,21.4612,-71.1419,78.76,65,75,17.27,TC,1707079740
250,karatas,36.582,35.3701,53.74,75,100,9.01,TR,1707079740
251,charters towers,-20.1,146.2667,76.05,79,100,8.9,AU,1707079741
252,navirai,-23.065,-54.1906,90.18,36,78,10.29,BR,1707079741
253,nemuro,43.3236,145.575,19.38,72,19,13.62,JP,1707079741
254,vorkuta,67.5,64.0,2.59,94,100,1.19,RU,1707079741
255,horta,38.5333,-28.6333,62.24,94,75,18.01,PT,1707079488
256,guixi,28.2886,117.2133,37.54,89,100,3.83,CN,1707079741
257,januaria,-15.4833,-44.3667,80.67,60,99,2.21,BR,1707079742
258,tofol,5.3248,163.0078,82.06,81,97,25.48,FM,1707079742
259,camana,-16.6228,-72.7111,76.46,81,63,5.14,PE,1707079742
260,belokurikha,51.9959,84.9896,25.32,83,100,4.59,RU,1707079742
261,ridder,50.355,83.5133,20.1,84,100,5.93,KZ,1707079742
262,flin flon,54.7682,-101.865,21.04,86,100,4.61,CA,1707079742
263,la passe,45.5549,-0.8967,46.63,90,97,5.23,FR,1707079743
264,cavalaire-sur-mer,43.174,6.5272,44.42,84,12,1.32,FR,1707079743
265,badger,64.8,-147.5333,-2.29,69,100,3.44,US,1707079743
266,malvan,16.0667,73.4667,76.15,71,0,7.25,IN,1707079743
267,fort st. john,56.2499,-120.8529,28.29,50,20,0.0,CA,1707079549
268,at taraf,25.3628,49.725,55.94,58,62,5.48,SA,1707079743
269,uturoa,-16.7333,-151.4333,81.37,80,100,15.41,PF,1707079744
270,puruaran,19.1,-101.5333,84.79,19,0,3.98,MX,1707079744
271,villa dolores,-31.9459,-65.1896,91.87,35,93,8.19,AR,1707079744
272,vadso,70.0744,29.7487,23.16,74,75,19.57,NO,1707079744
273,codrington,-38.2667,141.9667,61.07,68,91,13.38,AU,1707079745
274,tambura,5.6,27.4667,76.08,29,92,4.54,SS,1707079745
275,bengkulu,-3.8004,102.2655,76.57,90,100,3.67,ID,1707079745
276,bosaso,11.2842,49.1816,76.66,78,27,5.44,SO,1707079745
277,belo sur tsiribihina,-19.7,44.55,74.41,96,97,4.68,MG,1707079745
278,dambulla,7.86,80.6517,71.08,98,97,3.47,LK,1707079746
279,badagara,11.6,75.5833,75.87,82,52,4.88,IN,1707079746
280,vangaindrano,-23.35,47.6,73.99,90,100,3.83,MG,1707079746
281,otacilio costa,-27.4831,-50.1219,74.32,64,84,0.11,BR,1707079746
282,westport,41.1415,-73.3579,46.17,41,0,14.97,US,1707079746
283,puerto madero,14.7208,-92.4215,83.68,66,5,18.07,MX,1707079746
284,isangel,-19.55,169.2667,80.71,89,75,9.22,VU,1707079747
285,margate,51.3813,1.3862,51.87,80,100,11.01,GB,1707079351
286,tralee,52.2704,-9.7026,50.47,89,98,11.99,IE,1707079747
287,hobyo,5.3505,48.5268,78.13,78,42,17.58,SO,1707079616
288,port-vila,-17.7338,168.3219,80.2,94,75,1.14,VU,1707079747
289,irece,-11.3042,-41.8558,80.69,48,36,15.59,BR,1707079747
290,joshimath,30.5667,79.5667,39.67,94,98,3.09,IN,1707079747
291,rio de janeiro,-22.9028,-43.2075,82.35,85,75,18.41,BR,1707079681
292,cudillero,43.5622,-6.1459,53.91,93,0,0.0,ES,1707079748
293,mount gambier,-37.8333,140.7667,58.57,69,60,7.25,AU,1707079748
294,pontes e lacerda,-15.2261,-59.3353,83.75,57,100,4.99,BR,1707079748
295,conception bay south,47.4999,-52.9981,34.75,97,100,24.16,CA,1707079748
296,kapuskasing,49.4169,-82.4331,41.09,52,20,9.22,CA,1707079748
297,kununurra,-15.7667,128.7333,80.58,94,68,1.14,AU,1707079582
298,vilyuchinsk,52.9306,158.4028,8.92,78,98,8.97,RU,1707079749
299,byron bay,-28.65,153.6167,77.7,68,87,6.4,AU,1707079749
300,manokwari,-0.8667,134.0833,78.17,81,97,4.38,ID,1707079749
301,wynyard,-41.0,145.7167,63.64,76,77,9.95,AU,1707079749
302,colonia,50.9333,6.95,52.83,87,75,18.41,DE,1707079750
303,adrar,20.5022,-10.0711,65.97,10,84,12.64,MR,1707079750
304,carutapera,-1.195,-46.02,81.55,77,18,8.68,BR,1707079750
305,enewetak,11.3474,162.3373,79.81,75,100,21.23,MH,1707079750
306,at-bashi,41.1702,75.8106,1.99,75,41,2.82,KG,1707079750
307,tura,25.5198,90.2201,55.65,43,34,3.49,IN,1707079750
308,mount isa,-20.7333,139.5,76.77,78,35,6.91,AU,1707079751
309,sao sepe,-30.1606,-53.5653,75.78,70,67,5.57,BR,1707079751
310,kibuye,-2.0597,29.3482,66.31,81,100,3.69,RW,1707079751
311,pandan,14.0453,124.1694,75.94,83,28,8.99,PH,1707079751
312,emerald,-23.5333,148.1667,73.35,88,100,9.01,AU,1707079752
313,khandyga,62.6667,135.6,-46.89,100,72,1.52,RU,1707079752
314,cedeira,43.6797,-8.0209,53.38,79,96,3.94,ES,1707079752
315,tambopata,-12.7333,-69.1833,89.49,66,0,3.44,PE,1707079752
